No,Kategori Inventaris,Asset Name,Code,Serial Number,User,Username,Department,Condition,Date,Purchase Date,Updated By,Note
130,Laptop,Lenovo Ideapad Slim 3 i3-1315U - 512 - 8GB,002-A/IV/2026,PF5XSMB1,Unknown,,Unknown,Good,2023-09-17,2026-04-15,IT Administrator,
131,Laptop,Dell Vostro 15 3510 - i7 1165G7 - 512GB - 8GB RAM,004-A/IV/2026,SF5V0JK3,Unknown,,Unknown,Good,2023-09-18,,IT Administrator,
132,Laptop,Lenovo Ideapad Slim 5 14IAH10 - 512 - 16GB,004-A/X/2025,YX0G25N8,Unknown,,Unknown,Good,2023-09-19,2025-10-16,IT Administrator,
133,Laptop,Lenovo Ideapad Slim 5 14IMH9 - 512 - 16GB,004-A/II/2025,MP2HQ3KB,Unknown,,Unknown,Good,2023-09-20,2025-02-07,IT Administrator,
134,Laptop,Lenovo Ideapad Slim 5 14IMH9 - 512 - 16GB,001-A/I/2025,MP2NXREH,Unknown,,Unknown,Good,2023-09-21,2025-01-07,IT Administrator,RINGGONANDYO ISNUBROTO
135,Laptop,Lenovo Ideapad Slim 3 i3-1315U - 512 - 8GB,001-A/VII/2026,PF60KNJV,Unknown,,Unknown,Good,2023-09-22,2026-07-09,IT Administrator,
136,Laptop,Lenovo Ideapad Slim 3 i3-1315U - 512 - 8GB,002-A/VII/2026,PF60R8L1,Unknown,,Unknown,Good,2023-09-23,2026-07-09,IT Administrator,
137,Laptop,Lenovo Ideapad Slim 3 i3-1315U - 512 - 8GB,003-A/VII/2026,PF60NG15,Unknown,,Unknown,Good,2023-09-24,2026-07-09,IT Administrator,
138,Laptop,Dell XPS 13 7390 - I5 11210 8GB 256ssd W10 13.3FHD Touch Win,008-B/VI/2022,JV3T5D3,Unknown,,Unknown,Under Repair,2023-09-25,2021-11-22,IT Administrator,Converter
139,Laptop,Lenovo Ideapad Slim 5 14IMH9 - 512 - 16GB,003-A/XII/2024,MP2NXN3H,Unknown,,Unknown,Under Repair,2023-09-26,2024-12-16,IT Administrator,KLAIM WARRANTY
140,Phone,Iphone 8 - Black,023-B/VI/2023,C8QWKWZ6JC67,Unknown,,Unknown,Good,2026-09-14,2026-08-04,IT Administrator,-
141,Phone,Iphone 8 - Black,055-B/VI/2023,C7CVH7Q7JC6C,Unknown,,Unknown,Good,2026-09-14,,IT Administrator,-
142,Phone,Ipad 7 2019 - Rose Gold,026-B/VI/2023,MW792LL/A,Unknown,,Unknown,Good,2026-09-14,,IT Administrator,-
